"cam_days","cams","location_type","commonName","EventID","RAI"
119,"F78","forest","Red Deer",9,7.56302521008403
119,"F79","forest","Red Deer",10,8.40336134453782
120,"F80","forest","Red Deer",44,36.6666666666667
101,"F81","forest","Red Deer",12,11.8811881188119
120,"F82","forest","Red Deer",41,34.1666666666667
120,"F83","forest","Red Deer",0,0
120,"F84","forest","Red Deer",8,6.66666666666667
120,"F85","forest","Red Deer",19,15.8333333333333
120,"F86","forest","Red Deer",9,7.5
68,"T27","trail","Red Deer",14,20.5882352941176
117,"T28","trail","Red Deer",13,11.1111111111111
120,"T29","trail","Red Deer",9,7.5
120,"T30","trail","Red Deer",8,6.66666666666667
120,"T31","trail","Red Deer",16,13.3333333333333
120,"T32","trail","Red Deer",11,9.16666666666667
120,"T33","trail","Red Deer",11,9.16666666666667
120,"T34","trail","Red Deer",12,10
120,"T35","trail","Red Deer",12,10
120,"T36","trail","Red Deer",37,30.8333333333333
100,"T37","trail","Red Deer",44,44
120,"T38","trail","Red Deer",11,9.16666666666667
120,"T39","trail","Red Deer",73,60.8333333333333
120,"T40","trail","Red Deer",8,6.66666666666667
120,"T41","trail","Red Deer",11,9.16666666666667
120,"T42","trail","Red Deer",44,36.6666666666667
120,"T43","trail","Red Deer",29,24.1666666666667
120,"T44","trail","Red Deer",8,6.66666666666667
120,"T45","trail","Red Deer",48,40
120,"T46","trail","Red Deer",8,6.66666666666667
120,"T47","trail","Red Deer",44,36.6666666666667
120,"T48","trail","Red Deer",11,9.16666666666667
67,"T49","trail","Red Deer",0,0
73,"T50","trail","Red Deer",0,0
120,"T51","trail","Red Deer",33,27.5
44,"T52","trail","Red Deer",23,52.2727272727273
120,"T53","trail","Red Deer",9,7.5
89,"T54","trail","Red Deer",10,11.2359550561798
120,"T55","trail","Red Deer",8,6.66666666666667
120,"T56","trail","Red Deer",16,13.3333333333333
111,"T57","trail","Red Deer",11,9.90990990990991
120,"T58","trail","Red Deer",8,6.66666666666667
120,"T59","trail","Red Deer",0,0
120,"T60","trail","Red Deer",0,0
110,"T61","trail","Red Deer",20,18.1818181818182
120,"T62","trail","Red Deer",9,7.5
120,"T63","trail","Red Deer",18,15
120,"T64","trail","Red Deer",10,8.33333333333333
120,"T65","trail","Red Deer",16,13.3333333333333
120,"T66","trail","Red Deer",8,6.66666666666667
120,"T67","trail","Red Deer",14,11.6666666666667
84,"T68","trail","Red Deer",21,25
53,"T69","trail","Red Deer",13,24.5283018867925
120,"T70","trail","Red Deer",22,18.3333333333333
120,"T71","trail","Red Deer",33,27.5
120,"T72","trail","Red Deer",20,16.6666666666667
120,"T73","trail","Red Deer",0,0
120,"T74","trail","Red Deer",0,0
91,"T75","trail","Red Deer",13,14.2857142857143
120,"T76","trail","Red Deer",9,7.5
108,"T77","trail","Red Deer",10,9.25925925925926
120,"T78","trail","Red Deer",8,6.66666666666667
120,"T79","trail","Red Deer",9,7.5
120,"T80","trail","Red Deer",9,7.5
120,"T81","trail","Red Deer",9,7.5
120,"T82","trail","Red Deer",15,12.5
120,"T83","trail","Red Deer",9,7.5
120,"T84","trail","Red Deer",0,0
120,"T85","trail","Red Deer",11,9.16666666666667
119,"T86","trail","Red Deer",11,9.2436974789916
48,"F87","forest","Red Deer",24,50
48,"T87","trail","Red Deer",11,22.9166666666667
