weeks,iqscore,proficiency,money,points,irr,friends,early,credit,sex,age,salary,budget,continent
34.0,0.363263396,0.538560152,250,1.017375708,0.098153003,0.051957138,0.482792258,370.7,Female,29,5058,1685.8314,
,0.427146804,0.14183481,10,0.9955917,0.01,0.031180197,0.154627383,274.31,Male,24,8225,2741.3925,Asia
,0.243997181,0.712109327,18,0.955407739,0.107347928,0.047038373,0.441393256,380.12,Female,34,6121,2040.1293,Asia
12.0,0.294887156,0.627489209,219,1.009609699,0.12551336,0.042150255,0.359707355,417.58,Female,33,5021,1673.4993,Africa
2.0,0.312536517,0.461974502,15,1.118243814,0.044659629,0.041173372,0.38159588,417.58,Male,33,6611,2203.4463,Africa
12.0,0.50690126,0.261187315,43,1.082796693,0.076152615,0.044147778,0.346807212,348.51,Female,32,7410,2469.753,Asia
52.0,0.286153228,0.605737805,250,1.003199816,0.112277038,0.04966208,0.622188509,322.87,Female,25,5283,1760.8239,Africa
1.0,0.442901371,0.778180182,40,1.045819759,0.171514854,0.047678772,0.573374212,348.51,Female,32,4261,1420.1913,Africa
1.0,0.23021137,0.973262131,11,0.787840962,0.041011315,0.055427723,0.185418308,273.4,Female,23,6121,2040.1293,Africa
18.0,0.400787984,0.389395386,85,0.960092545,0.102994628,0.047913626,0.430849463,305.9,Female,26,5027,1675.4991,Asia
20.0,0.385951806,0.606392145,28,0.92357403,0.318493038,0.041494332,0.307068944,274.31,Female,24,4148,1382.5284,Europe
11.0,0.427494285,0.239578635,17,1.113498807,0.108146906,0.039155971,0.427468568,348.51,Male,32,6062,2020.4646,Asia
16.0,0.3795331,0.423036128,66,0.993636668,0.097617686,0.044553738,0.245345861,273.4,Female,23,5027,1675.4991,Europe
18.0,0.426999663,0.235534206,26,1.000581384,0.070192635,0.036320593,0.47027427,370.7,Female,29,4163,1387.5279,
15.0,0.32017466,0.519282222,71,0.985901952,0.172975555,0.045281518,0.491533279,380.12,Female,34,4045,1348.1985,Africa
46.0,0.297929335,0.657542825,250,0.86594218,0.108611055,0.042740334,0.32361728,289.58,Female,23,5611,1870.1463,Africa
22.0,0.401563535,0.388507783,113,1.05181849,0.12647149,0.051420882,0.489122063,380.12,Female,34,5027,1675.4991,Europe
33.0,0.378169644,0.35267815,136,0.876593709,0.109653085,0.039324254,0.227438539,245.56,Female,23,5924,1974.4692,Asia
11.0,0.29738909,0.582784653,49,1.09616375,0.190809265,0.039093617,0.369875073,355.34,Female,24,3601,1200.2133,Africa
51.0,0.293768365,0.644582808,250,0.986499429,0.108410574,0.049518298,0.505848229,248.32,Male,22,5225,1741.4925,Europe
2.0,0.357815095,0.662835538,33,1.0,0.226908222,0.060189031,0.630195022,330.34,Female,25,2780,926.574,Africa
10.0,0.303091534,0.70783174,154,0.991430223,0.123229913,0.047727272,0.423954964,305.9,Female,26,4855,1618.1715,Asia
18.0,0.324588083,0.306881428,47,0.883390903,0.061391324,0.06114243,0.39353922,333.18,Female,31,5708,1902.4764,Europe
1.0,0.224351241,0.919802129,15,0.998617232,0.071512967,0.046678241,0.392377019,300.83,Female,25,6121,2040.1293,Africa
2.0,0.23964959,0.846304834,21,0.986032546,0.152302623,0.056798685,0.318952203,273.4,Female,23,5934,1977.8022,Europe
10.0,0.297919202,0.703701437,146,0.981906533,0.120139971,0.048203927,0.394559473,325.7,Female,27,4885,1628.1705,Europe
13.0,0.489336375,0.135867193,21,0.455598414,0.131885901,0.038240779,0.663083255,305.9,Male,26,5507,1835.4831,Europe
5.0,0.381835047,0.261392087,7,0.829051137,0.120860055,0.030483054,0.56869781,417.58,Female,33,1643,547.6119,Africa
16.0,0.421389893,0.230713144,23,1.040412188,0.057486329,0.034863517,0.440860033,322.87,Female,25,4743,1580.8419,Africa
1.0,0.23988247,0.742732584,18,0.983402193,0.106042095,0.046958171,0.465394229,370.7,Female,29,6121,2040.1293,Africa
52.0,0.295646852,0.590896666,250,1.0,0.114288829,0.050073311,0.671064138,330.34,Female,25,5327,1775.4891,Europe
,0.353545207,0.524476171,250,0.98152411,0.103271045,0.050537612,0.478497744,322.87,Female,25,4918,1639.1694,Europe
4.0,0.267635902,0.313820332,22,1.050469875,0.013159195,0.060737286,0.363735139,417.58,Female,33,4542,1513.8486,Africa
24.0,0.405540128,0.379993469,127,1.046105266,0.134704366,0.052096516,0.434698462,417.58,Female,33,5027,1675.4991,Europe
6.0,0.335259606,0.359651536,14,0.867727757,0.177420348,0.047380958,0.401450932,300.83,Female,25,5270,1756.491,Asia
2.0,0.278822078,0.505131781,12,0.970264912,0.054014221,0.043275394,0.388730496,248.32,Female,22,5918,1972.4694,Africa
1.0,0.222235087,0.967175722,15,1.01054883,0.073474728,0.047834862,0.409613967,305.9,Female,26,6121,2040.1293,Africa
2.0,0.291566125,0.765848756,34,1.0,0.161222517,0.057394654,0.656700969,330.34,Female,25,5488,1829.1504,Africa
15.0,0.357097612,0.38774547,34,0.993449271,0.091578968,0.046543509,0.433224946,300.83,Female,25,6178,2059.1274,Asia
2.0,0.344753021,0.669739902,24,0.903009534,0.245514527,0.062700205,0.435369819,305.9,Female,26,2780,926.574,Africa
11.0,0.308287757,0.69790411,168,1.00951767,0.116409153,0.04711372,0.441916883,248.32,Female,22,4866,1621.8378,Asia
15.0,0.517714624,0.254379958,64,1.114875436,0.05709834,0.037443176,0.517527282,337.98,Female,25,5507,1835.4831,Asia
1.0,0.243997181,0.712109327,18,0.955407739,0.107347928,0.047038373,0.441393256,380.12,Female,34,6121,2040.1293,Asia
,0.396527541,0.324969828,81,0.866808176,0.220687151,0.04423672,0.322860628,245.56,Female,23,4793,1597.5069,Europe
4.0,0.26263714,0.357743084,18,1.129530072,0.01,0.049050748,0.369580597,322.87,Female,25,4542,1513.8486,Africa
39.0,0.206707031,0.515425622,212,0.973042607,0.076792464,0.064470619,0.663060665,333.18,Female,31,6789,2262.7737,Europe
2.0,0.348344135,0.70538044,28,0.96548599,0.213404194,0.062340394,0.440149307,300.83,Female,25,2780,926.574,Africa
2.0,0.278822078,0.505131781,12,0.970264912,0.054014221,0.043275394,0.388730496,248.32,Female,22,5918,1972.4694,Africa
2.0,0.274049651,0.824103057,26,0.979655564,0.201882258,0.0563812,0.541584313,305.9,Female,26,5190,1729.827,Asia
7.0,0.314867784,0.313086808,21,0.81834656,0.136535808,0.078367651,0.560929716,380.12,Female,34,5450,1816.485,Africa
12.0,0.423385418,0.198084891,17,0.885806561,0.04866384,0.025128806,0.227380544,273.4,Female,23,5990,1996.467,Asia
39.0,0.413990253,0.370109022,108,0.981277227,0.167966872,0.042995919,0.302165776,325.7,Female,27,4434,1477.8522,
,0.1993696,1.0,110,1.014113069,0.229548037,0.057008687,0.19043602,289.58,Female,23,7360,2453.088,Europe
24.0,0.524758805,0.2622284,155,1.0,0.079740137,0.051812794,0.763503551,330.34,Female,25,2871,956.9043,Europe
30.0,0.262924789,0.617881,202,0.983709097,0.114815794,0.044163506,0.30931434,245.56,Female,23,5029,1676.1657,Asia
11.0,0.497236753,0.260117948,33,1.008202791,0.070583187,0.046346281,0.398392111,370.7,Female,29,7410,2469.753,Asia
,0.262646803,0.359862477,19,1.164649963,0.01,0.055827945,0.385772198,337.98,Female,25,4542,1513.8486,Africa
10.0,0.28430599,0.720986784,110,0.939074218,0.106085636,0.051684685,0.258242875,289.58,Female,23,5135,1711.4955,Europe
1.0,0.429382821,0.749710798,37,1.010116816,0.158981085,0.044356331,0.624166548,370.7,Female,29,4261,1420.1913,Africa
30.0,0.294161555,0.605148911,225,1.001296759,0.115863442,0.045058385,0.417170614,355.34,Female,24,4946,1648.5018,Europe
,0.393453139,0.391324908,77,0.969072163,0.104999073,0.046842128,0.375529498,343.19,Female,28,5027,1675.4991,Europe
13.0,0.436047687,0.261939466,22,0.546938777,0.251502395,0.042214893,0.330985397,245.56,Male,23,5507,1835.4831,Europe
38.0,0.407720202,0.36335367,104,0.963277221,0.173052892,0.042519782,0.304919779,343.19,Female,28,4455,1484.8515,Asia
20.0,0.385951806,0.606392145,28,0.92357403,0.318493038,0.041494332,0.307068944,274.31,Female,24,4148,1382.5284,Europe
2.0,0.404671913,0.615610123,41,0.937058091,0.208480626,0.056382038,0.589656353,333.18,Male,31,2780,926.574,Africa
49.0,0.305688425,0.721578777,250,0.999392033,0.131249398,0.046724699,0.481261313,325.7,Female,27,5137,1712.1621,Europe
54.0,0.450722364,0.254936188,193,0.864469886,0.102616392,0.043169864,0.37717393,348.51,Female,32,5609,1869.4797,Europe
,0.249248577,0.435661346,21,1.0,0.134715736,0.076285966,0.715723217,330.34,Female,25,2754,917.9082,Africa
38.0,0.205054006,0.521017075,205,0.969644904,0.06745059,0.066368572,0.65617156,380.12,Female,34,6789,2262.7737,Europe
2.0,0.331535668,0.710676014,31,1.038286924,0.201099247,0.061293107,0.569540203,322.87,Female,25,2780,926.574,Asia
39.0,0.380497016,0.38879177,170,0.935606778,0.141950786,0.04602493,0.399418056,300.83,Female,25,5604,1867.8132,Europe
12.0,0.423385418,0.198084891,17,0.885806561,0.04866384,0.025128806,0.227380544,273.4,Female,23,5990,1996.467,Asia
8.0,0.483347807,0.230841503,15,0.729693353,0.072339125,0.047600288,0.261908233,273.4,Female,23,7410,2469.753,Africa
1.0,0.343204393,0.362943947,14,0.640084743,0.077142991,0.084598489,0.551215291,343.19,Female,28,2754,917.9082,Asia
41.0,0.417385184,0.390100658,117,1.022717595,0.173267856,0.04401128,0.320565313,305.9,Female,26,4239,1412.8587,Asia
10.0,0.389036641,0.310140371,32,0.98981595,0.075751029,0.042520355,0.464704603,337.98,Female,25,6172,2057.1276,Africa
1.0,0.230287761,0.840205967,18,1.064578295,0.086963825,0.045996942,0.499281943,322.87,Female,25,6121,2040.1293,Africa
40.0,0.208845493,0.520809889,219,0.983591437,0.095036387,0.062773094,0.705532968,348.51,Female,32,6789,2262.7737,Asia
12.0,0.417758642,0.353747219,20,0.576587558,0.175688639,0.041757133,0.308066189,273.4,Female,23,5507,1835.4831,Asia
1.0,0.415690535,0.703784764,23,0.842583239,0.154641688,0.044188034,0.28927353,273.4,Female,23,4749,1582.8417,Asia
11.0,0.29782528,0.640180051,211,1.013610721,0.11819616,0.043405049,0.407850057,333.18,Female,31,5021,1673.4993,Africa
29.0,0.200704516,0.747241318,111,0.912535727,0.05986698,0.062715925,0.245222986,245.56,Female,23,7938,2645.7354,Africa
19.0,0.399999087,0.397401243,88,0.990860283,0.101565003,0.049483053,0.476992995,300.83,Female,25,5027,1675.4991,Africa
42.0,0.373139759,0.381152779,203,1.0,0.128798753,0.049871173,0.378695816,330.34,Female,25,6136,2045.1288,Europe
1.0,0.235666861,0.350548595,14,0.646854699,0.030547509,0.09106981,0.509693086,274.31,Female,24,3461,1153.5513,Asia
6.0,0.454281342,0.193024442,13,0.846133351,0.01,0.029222421,0.351231337,325.7,Female,27,8062,2687.0646,Asia
18.0,0.426999663,0.235534206,26,1.000581384,0.070192635,0.036320593,0.47027427,370.7,Female,29,4163,1387.5279,Asia
10.0,0.307096484,0.702127874,161,0.99787879,0.128667384,0.047408078,0.46377188,300.83,Female,25,4722,1573.8426,Asia
1.0,0.23021137,0.973262131,11,0.787840962,0.041011315,0.055427723,0.185418308,273.4,Female,23,6121,2040.1293,Africa
21.0,0.436082744,0.209985137,33,0.936069965,0.056787685,0.039433911,0.409258425,417.58,Female,33,4507,1502.1831,Europe
9.0,0.394852631,0.343361497,29,1.004953504,0.072011426,0.043201007,0.449070126,300.83,Female,25,6172,2057.1276,Asia
11.0,0.296011366,0.58223331,47,1.100206852,0.184140071,0.039312184,0.323927701,274.31,Female,24,3693,1230.8769,Europe
1.0,0.442901371,0.778180182,40,1.045819759,0.171514854,0.047678772,0.573374212,348.51,Female,32,4261,1420.1913,Africa
24.0,0.405540128,0.379993469,127,1.046105266,0.134704366,0.052096516,0.434698462,417.58,Female,33,5027,1675.4991,Europe
2.0,0.322223964,0.661948979,20,0.852126896,0.271386951,0.065718472,0.435144246,343.19,Female,28,2780,926.574,Europe
8.0,0.436327782,0.183505118,13,0.898079753,0.027608842,0.035088267,0.346416712,248.32,Female,22,6062,2020.4646,Asia
1.0,0.228928239,0.993984818,11,0.75269568,0.033991098,0.057298772,0.200052559,289.58,Female,23,6121,2040.1293,Asia
1.0,0.224351241,0.919802129,15,0.998617232,0.071512967,0.046678241,0.392377019,300.83,Female,25,6121,2040.1293,Africa
32.0,0.3537419,0.582184196,250,1.010161996,0.108153045,0.049920857,0.504401565,248.32,Female,22,4988,1662.5004,Europe
15.0,0.327634739,0.505028129,74,0.977784157,0.173787311,0.046366252,0.412542224,333.18,Female,31,4144,1381.1952,Africa
10.0,0.429054217,0.243424058,17,1.133558035,0.074411832,0.037872255,0.379319549,370.7,Female,29,6062,2020.4646,Asia
1.0,0.419085637,0.731495738,34,0.98517257,0.15763402,0.043893777,0.553535998,322.87,Female,25,4261,1420.1913,Africa
35.0,0.359471335,0.513268948,250,0.995911241,0.102558352,0.051977266,0.406724244,333.18,Female,31,5004,1667.8332,Europe
32.0,0.200055361,0.757929087,177,1.020963192,0.080700815,0.071048237,0.474520564,305.9,Female,26,6789,2262.7737,Africa
27.0,0.1993696,1.0,110,1.014113069,0.229548037,0.057008687,0.19043602,289.58,Female,23,7360,2453.088,Europe
15.0,0.52569383,0.246409088,60,1.079853535,0.111489676,0.036626596,0.577488422,370.7,Female,29,5507,1835.4831,Asia
19.0,0.379733483,0.436368048,20,0.748411059,0.258168697,0.038726222,0.309059858,273.4,Female,23,5132,1710.4956,Asia
7.0,0.314867784,0.313086808,21,0.81834656,0.136535808,0.078367651,0.560929716,380.12,Female,34,5450,1816.485,Africa
19.0,0.325947867,0.294633448,56,0.870549381,0.033478279,0.06704253,0.382158399,417.58,Female,33,5708,1902.4764,Asia
2.0,0.27726029,0.509207964,10,0.844275117,0.061603285,0.035938475,0.352934301,325.7,Female,27,5607,1868.8131,Asia
13.0,0.436047687,0.261939466,22,0.546938777,0.251502395,0.042214893,0.330985397,245.56,Male,23,5507,1835.4831,Europe
2.0,0.305630865,0.815165937,39,1.059797168,0.186187878,0.056025572,0.561077952,370.7,Female,29,5260,1753.158,Africa
39.0,0.380497016,0.38879177,170,0.935606778,0.141950786,0.04602493,0.399418056,300.83,Female,25,5604,1867.8132,Europe
40.0,0.375881689,0.388155848,179,0.966372252,0.149143443,0.04728828,0.390706897,248.32,Female,22,5780,1926.474,Europe
10.0,0.298381849,0.55491513,43,1.066864371,0.171906024,0.039355088,0.249567911,273.4,Female,23,3747,1248.8751,Asia
17.0,0.386710081,0.412981302,73,0.988099039,0.098466441,0.045873702,0.327473432,274.31,Female,24,5027,1675.4991,Europe
15.0,0.32017466,0.519282222,71,0.985901952,0.172975555,0.045281518,0.491533279,380.12,Female,34,4045,1348.1985,Africa
32.0,0.321545551,0.615682125,250,1.031594276,0.11357072,0.048714563,0.541417658,300.83,Female,25,4734,1577.8422,Europe
11.0,0.29782528,0.640180051,211,1.013610721,0.11819616,0.043405049,0.407850057,333.18,Female,31,5021,1673.4993,Africa
39.0,0.380497016,0.38879177,170,0.935606778,0.141950786,0.04602493,0.399418056,300.83,Female,25,5604,1867.8132,Europe
11.0,0.308287757,0.69790411,168,1.00951767,0.116409153,0.04711372,0.441916883,248.32,Female,22,4866,1621.8378,Asia
7.0,0.432692297,0.16993998,11,1.090983868,0.01,0.034001134,0.279339641,343.19,Female,28,8373,2790.7209,Asia
3.0,0.261748155,0.39868331,14,1.284756422,0.055161647,0.04893196,0.354212612,325.7,Female,27,4542,1513.8486,Asia
7.0,0.39269533,0.310793608,21,0.951604486,0.050551582,0.04363184,0.244971022,273.4,Female,23,6172,2057.1276,Asia
2.0,0.308596984,0.439972728,9,0.77217412,0.020342637,0.050288692,0.195236415,273.4,Female,23,6516,2171.7828,Asia
2.0,0.247425453,0.756203175,19,0.889394939,0.134349734,0.056275979,0.358733237,289.58,Female,23,6244,2081.1252,Europe
14.0,0.369644064,0.405775964,31,0.980590284,0.112870052,0.046284381,0.331601679,325.7,Female,27,6025,2008.1325,Europe
4.0,0.262646803,0.359862477,19,1.164649963,0.01,0.055827945,0.385772198,337.98,Female,25,4542,1513.8486,Africa
38.0,0.37965276,0.38988322,170,0.950504899,0.113901645,0.044419758,0.358706206,305.9,Female,26,5729,1909.4757,Africa
2.0,0.277486628,0.888739824,32,1.092739463,0.160235852,0.057732143,0.521387696,248.32,Female,22,5407,1802.1531,Africa
10.0,0.300828769,0.708080292,127,0.941160619,0.106548585,0.050860271,0.343165725,274.31,Female,24,5128,1709.1624,Europe
14.0,0.504385341,0.213849694,43,0.927588582,0.054512724,0.037681505,0.492062986,322.87,Female,25,5507,1835.4831,Africa
4.0,0.386425253,0.406583637,7,0.894058287,0.206722543,0.03456318,0.283715487,245.56,Female,23,2319,772.9227,Africa
37.0,0.37818498,0.374728709,161,0.938573182,0.124488905,0.042376749,0.318223476,325.7,Female,27,5750,1916.475,Europe
2.0,0.280989059,0.668073952,17,0.955585361,0.291784585,0.066216551,0.265792936,273.4,Female,23,2780,926.574,Africa
29.0,0.200704516,0.747241318,111,0.912535727,0.05986698,0.062715925,0.245222986,245.56,Female,23,7938,2645.7354,Africa
7.0,0.318947987,0.305344939,23,0.820159614,0.050911192,0.077786975,0.377261549,348.51,Female,32,5498,1832.4834,Europe
4.0,0.386636313,0.40566045,7,0.894508541,0.207486734,0.031783972,0.391404748,343.19,Female,28,2319,772.9227,Europe
14.0,0.504385341,0.213849694,43,0.927588582,0.054512724,0.037681505,0.492062986,322.87,Female,25,5507,1835.4831,Africa
8.0,0.483347807,0.230841503,15,0.729693353,0.072339125,0.047600288,0.261908233,273.4,Female,23,7410,2469.753,Africa
13.0,0.473662265,0.185966313,19,0.446776837,0.187900811,0.04169872,0.437976301,355.34,Male,24,5507,1835.4831,Europe
2.0,0.23964959,0.846304834,21,0.986032546,0.152302623,0.056798685,0.318952203,273.4,Female,23,5934,1977.8022,Europe
,0.363263396,0.538560152,250,1.017375708,0.098153003,0.051957138,0.482792258,370.7,Female,29,5058,1685.8314,Europe
41.0,0.374433448,0.36956954,192,0.986942053,0.127549276,0.048544176,0.387117416,322.87,Female,25,6141,2046.7953,Europe
,0.381835047,0.261392087,7,0.829051137,0.120860055,0.030483054,0.56869781,417.58,Female,33,1643,547.6119,Africa
11.0,0.301015159,0.651285887,191,1.010964513,0.10691566,0.04568781,0.43739894,337.98,Female,25,5021,1673.4993,Africa
2.0,0.264773551,0.474568725,10,0.819737315,0.031515524,0.042475268,0.330598563,355.34,Female,24,6394,2131.1202,Europe
10.0,0.390126374,0.318136454,34,1.022404075,0.075550444,0.043406375,0.487763733,370.7,Female,29,6172,2057.1276,Asia
39.0,0.380497016,0.38879177,170,0.935606778,0.141950786,0.04602493,0.399418056,300.83,Female,25,5604,1867.8132,Europe
1.0,0.222235087,0.967175722,15,1.01054883,0.073474728,0.047834862,0.409613967,305.9,Female,26,6121,2040.1293,Africa
42.0,0.421532124,0.370890439,124,0.997327328,0.155404076,0.04483474,0.376504064,300.83,Female,25,4354,1451.1882,Europe
